"Nombre","CodigoBarra","Categoria","FechaCaducidad","Marca","Precio","Stock"
"Jabón de Barra","7000000000001","Higiene Personal","2026-07-18","Colgate",35.82,72
"Harina de Avena Premium","7000000000002","Desayuno","2025-06-28","Kellogg's",55.43,17
"Queso Mozzarella 250g","7000000000003","Lacteos","2026-04-22","Dos Pinos",42.9,14
"Costilla de Res Premium","7000000000004","Carnes","2027-05-10","Suiza",67.47,302
"Agua Mineral 500g","7000000000005","Bebidas","2028-11-30","Tropicana",36.7,143
"Pera en Lata 750ml","7000000000006","Enlatados","2025-07-29","Del Monte",13.25,50
"Manzana Verde Extra","7000000000007","Frutas","2026-06-26","Fresh Del Monte",32.86,374
"Cebolla 250ml","7000000000008","Verduras","2027-02-15","Verde",4.21,151
"Helado de Fresa 330ml","7000000000009","Frutas","2028-03-28","NaturFresh",10.11,36
"Pan Integral 200ml","7000000000010","Panaderia","2025-06-13","Marinela",52.48,444
"Pasta Espagueti 2L","7000000000011","Granos y Cereales","2027-07-18","Knorr",33.97,187
"Aceite Vegetal 330ml","7000000000012","Aceites y Grasas","2026-03-06","Carbonell",87.02,360
"Papel de Cocina Extra","7000000000013","Limpieza del Hogar","2028-07-24","Ariel",23.69,374
"Mayonesa Pequeño","7000000000014","Salsas","2027-02-17","Hellmann's",20.8,474
"Jabón de Barra 100g","7000000000015","Higiene Personal","2028-11-03","Gillette",42.56,394
"Mermelada de Mora 100g","7000000000016","Frutas","2025-03-07","Dole",32.79,206
"Salsa BBQ 250g","7000000000017","Especias y Condimentos","2028-03-07","McCormick",35.67,162
"Comino 6-pack","7000000000018","Especias y Condimentos","2028-08-09","Goya",21.06,136
"Tomate en Lata Premium","7000000000019","Enlatados","2028-01-09","Del Monte",19.2,300
"Sandía 6-pack","7000000000020","Frutas","2027-01-12","NaturFresh",11.11,71
"Champiñón 500ml","7000000000021","Verduras","2025-04-07","Fresh Market",26.11,79
"Suavizante de Ropa Familiar","7000000000022","Limpieza del Hogar","2028-05-06","Fabuloso",15.08,196
"Camarón Grande","7000000000023","Mariscos","2026-05-30","Pescanova",243.93,441
"Yogur Natural Premium","7000000000024","Lacteos","2026-07-01","Dos Pinos",62.64,175
"Macarrones Familiar","7000000000025","Granos y Cereales","2025-11-20","Barilla",25.96,489
"Cereal de Trigo Grande","7000000000026","Desayuno","2026-01-01","General Mills",50.46,55
"Leche Evaporada Grande","7000000000027","Lacteos","2028-06-01","Alpura",19.92,192
"Cacao en Polvo Premium","7000000000028","Harinas y Reposteria","2027-12-23","Selecta",51.17,307
"Té Negro","7000000000029","Bebidas","2025-08-18","Pepsi",74.68,450
"Helado de Fresa 100g","7000000000030","Frutas","2025-04-29","Fresh Del Monte",11.91,291
"Arroz Blanco Mediano","7000000000031","Granos y Cereales","2025-05-22","Maseca",49.03,273
"Mermelada de Fresa 1kg","7000000000032","Frutas","2028-09-13","Chiquita",20.59,282
"Aceite de Girasol Grande","7000000000033","Aceites y Grasas","2028-05-27","Carbonell",62.31,109
"Pollo Entero 200ml","7000000000034","Carnes","2027-03-29","Suiza",199.18,333
"Limón Grande","7000000000035","Frutas","2027-07-14","Del Campo",7.48,116
"Galletas de Chocolate","7000000000036","Panaderia","2028-04-19","Wonder",36.8,302
"Tomillo 500ml","7000000000037","Especias y Condimentos","2028-12-20","McCormick",27.09,118
"Galletas de Vainilla 750ml","7000000000038","Panaderia","2025-05-26","Bimbo",34.74,143
"Enjuague Bucal 250g","7000000000039","Higiene Personal","2028-01-10","Oral-B",26.25,479
"Vino Tinto Light","7000000000040","Alcoholicas","2027-08-27","Heineken",66.45,243
